GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.domain,SeatAllocationException,16,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingStatus.Status,34,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,SectionComparator,13,0,0,0,3,0,3,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,TicketRequest,17,0,0,0,8,0,5,0,5,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingRequested,57,0,0,0,19,0,11,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingStatus,26,0,0,0,12,0,6,0,6,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,AllocatedSeats,21,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,SeatAllocationService,89,0,4,0,23,0,6,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,RestServiceException,3,0,0,0,2,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.ticketmonster.orders.booking,BookingServiceController,356,0,22,0,76,0,16,0,5,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,Reflections,13,0,2,0,3,0,2,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,Base64,1549,0,206,0,236,0,114,0,11,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,Resources,6,3,0,0,1,1,1,1,1,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,CircularBuffer,111,0,8,0,21,0,7,0,3,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,ForwardingMap,71,0,0,0,18,0,16,0,16,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.util,FF4jFactory,2,11,0,0,1,3,1,3,1,3
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Ticket_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,MediaItem_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketPrice_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Event,39,45,13,1,10,16,9,12,2,12
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Ticket,60,3,0,0,18,2,10,1,10,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,SectionAllocation,389,6,52,0,71,3,39,1,13,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketCategory,41,33,13,1,15,11,9,6,2,6
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,MediaType,6,27,0,0,2,6,2,2,2,2
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketPrice,87,72,27,3,22,11,21,8,6,8
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,MediaItem,80,12,14,0,22,4,12,4,5,4
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Venue_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,TicketCategory_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,EventCategory,46,13,14,0,10,5,10,4,3,4
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Seat_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Show_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Address,85,58,27,3,13,14,17,8,2,8
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Address_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Section,26,101,11,11,6,28,10,18,1,16
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Booking_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,EventCategory_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,SeatAllocationException,16,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Booking,102,13,16,0,30,3,22,1,14,1
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Event_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Section_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Performance_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Seat,56,0,0,0,17,0,9,0,9,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Venue,59,79,20,2,14,24,14,15,3,15
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Show,63,71,20,2,16,16,15,10,4,10
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,SectionAllocation_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 3,org.jboss.examples.ticketmonster.model,Performance,26,85,11,11,6,18,10,11,1,9
