GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,Show,122,0,22,0,28,0,23,0,12,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,Section,127,0,22,0,34,0,28,0,17,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,Booking,119,0,16,0,34,0,23,0,15,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,EventId,87,0,16,0,16,0,14,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,IdGenerator,17,0,0,0,7,0,5,0,5,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,TicketCategory,74,0,14,0,26,0,15,0,8,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,SectionAllocation,395,0,52,0,74,0,40,0,14,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.domain,SeatAllocationException,16,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,BookingStatus.Status,34,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,SectionComparator,13,0,0,0,3,0,3,0,3,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,TicketRequest,17,0,0,0,8,0,5,0,5,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,BookingRequested,57,0,0,0,19,0,11,0,11,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,BookingStatus,26,0,0,0,12,0,6,0,6,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,AllocatedSeats,21,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,SeatAllocationService,89,0,4,0,23,0,6,0,4,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,RestServiceException,3,0,0,0,2,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.ticketmonster.orders.booking,BookingServiceController,356,0,22,0,76,0,16,0,5,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.util,Reflections,13,0,2,0,3,0,2,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.util,Base64,1326,223,192,14,206,30,106,8,8,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.util,Resources,6,3,0,0,1,1,1,1,1,1
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.util,CircularBuffer,111,0,8,0,21,0,7,0,3,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.util,ForwardingMap,71,0,0,0,18,0,16,0,16,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.util,FF4jFactory,0,13,0,0,0,4,0,4,0,4
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Ticket_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,MediaItem_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,TicketPrice_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Event,55,29,13,1,18,8,13,8,6,8
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Ticket,36,27,0,0,9,11,5,6,5,6
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,SectionAllocation,173,222,26,26,31,43,26,14,7,7
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,TicketCategory,48,26,13,1,18,8,11,4,4,4
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,MediaType,0,33,0,0,0,8,0,4,0,4
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,TicketPrice,110,49,27,3,24,9,23,6,8,6
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,MediaItem,63,29,13,1,18,8,11,5,4,5
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Venue_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,TicketCategory_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,EventCategory,50,9,14,0,12,3,11,3,4,3
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Seat_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Show_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Address,97,46,27,3,19,8,20,5,5,5
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Address_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Section,78,49,20,2,23,11,19,9,8,9
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Booking_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,EventCategory_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,SeatAllocationException,16,0,0,0,8,0,4,0,4,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Booking,51,64,14,2,13,20,11,12,4,11
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Event_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Section_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Performance_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Seat,32,24,0,0,7,10,4,5,4,5
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Venue,79,59,20,2,24,14,19,10,8,10
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Show,71,63,20,2,20,12,17,8,6,8
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,SectionAllocation_,3,0,0,0,1,0,1,0,1,0
ticketmonster Coverage Report microservice Scenario 1,org.jboss.examples.ticketmonster.model,Performance,63,48,20,2,16,8,15,6,4,6
