InputFileName,Architecture,ExperimentDate,ScenarioPath,NumberOfInstances,SleepTime,WorkloadIterations,NumberOfIterations,StartTimestamp,MonolithExperiment,MicroserviceExperiment,MonoFrontendDuration,MonoBackendDuration,MicroFrontendDuration,MicroBackendDuration,C-State,Resident,Count,Latency
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,3,C8,6.446%,22430,200
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,4,C7s,0.012%,124,124
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,5,C6,0.727%,10416,85
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,6,C3,0.078%,2803,70
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,7,C1E,0.741%,28632,10
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,8,C1,0.313%,18249,2
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,9,POLL,0.004%,4588,0
19-api-baseline.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,10,C0,1.592%
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,1,C10,90.150%,33849,890
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,2,C9,0.040%,163,480
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,3,C8,6.494%,22322,200
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,4,C7s,0.013%,118,124
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,5,C6,0.693%,10250,85
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,6,C3,0.079%,2529,70
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,7,C1E,0.695%,27415,10
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,8,C1,0.320%,17589,2
20-api-monitor.csv,micro,29-02-24T21-03-08,1,5,300,50,30,29-02-24T21-03-08,29-02-24T21-03-24,01-03-24T04-53-42,,,,,9,POLL,0.004%,4516,0
